content,techniques
حريق مبيت معهد تالة: إهمال، شبهة فساد وأزمة ثقة [فيديو] LINK LINK,"[""'loaded_language'"", ""'fud'""]"
كرامي بعد جلسة #مجلس_النواب: اللهم انّا لا نسألك ردّ القضاء وانّما نسألك اللطف فيه @USER LINK,['no_technique']
منظمة ألمانية : سوريا تعاني من أسوأ أزمة جوع حتى الأن LINK,"[""'loaded_language'"", ""'appeal_to_fear'""]"
زهير المغزاوي الأمين العام لحركة الشعب : الي يحب يسحب الثقة من الحكومة يمشي للبرلمان يجيب 109 نائب و يسحب على روحو.. #MidiShow 🇹🇳🌐,['no_technique']
"#بلحيمر @USER : دعم الجزائر للقضايا العادلة ""موقف ثابت لا و لن يخضع لأي ابتزاز أو ضغوط مهما كان مصدرها"" ⤵⤵⤵ LINK LINK","[""'loaded_language'""]"
"برعاية ""الإسلامي السوري"".. قوى سياسية وعسكرية وهيئات ومنظمات تصدر وثيقة لرفض مهزلة الانتخابات LINK","[""'loaded_language'""]"
ناصر جودة ينعى بلتاجي: هو بكل اختصار عقل سنفتقده #ناصر_جودة #عقل_بلتاجي #الأردن #كورونا #رؤيا_الاخباري #عاجل LINK,['no_technique']
#الوصال| الواسطة، المحسوبية، الرشوة عوامل هدامة لأي تقدم . برنامج نزاهة بالتعاون مع @USER يسلط الضوء على هذه العوامل وأهمية محاربتها من قبل الجميع LINK,"[""'loaded_language'""]"
هبوط اضطراري لطائرة البُراق في مطار #معيتيقة أثناء رحلتها #بنغازي - #تونس بسبب تعكر الحالة الصحية لأحد المسافرين على متنها.,['no_technique']
#مالي: الإفراج عن رئيسي المرحلة الانتقالية والحكومة,['no_technique']
«قرادة» لرئيس حكومة الوحدة الوطنية: لن أُخاتلك تربصًا ولن أُجاملك طمعًا #عين_ليبيا LINK,['no_technique']
بوتين يدعو إلى اتخاذ جهود دولية لمحاربة الارهاب بعد هجوم لندن #بريطانيا #روسيا LINK,"[""'loaded_language'""]"
بعد قرابة عقد من الزمان على أحداث #بنغازي، هل ستٌعيد إدارة بايدن فتح السفارة الأمريكية في #طرابلس؟ ,['no_technique']
المرأة لا تنتهك الأعراف او كرامتها حين تبادر رجلا بحبها LINK,"[""'loaded_language'""]"
"رئيس الأسوشيتد برس ""مصدوم"" بعد تدمير #برج_الجلاء LINK","[""'loaded_language'""]"
#من_عمان | قطافها دانية ... إصدار أدبي خامس بنكهة طلابية عمانية من لندن | عبير بنت صالح الربيعية - الأمين العام للمجلس الاستشاري الطلابي العماني بالمملكة المتحدة LINK LINK,['no_technique']
الخارجية المصرية: أكدنا لوزير الخارجية الإسرائيلي ضرورة وقف أي ممارسات تؤدي لتوتير الأوضاع بالأراضي الفلسطينية | #الخليج_أونلاين,"[""'loaded_language'""]"
معاناة أهالي وادي جبحة وجبل مصيدة ببلغازي مع طرقهم الوعرة. LINK LINK,"[""'loaded_language'""]"
"بـ""برامليه فقط"" حول 1,821 طفلاً إلى أشلاء .. النظام يتحدث عن ضرر الحرب على الأطفال ..!! LINK","[""'loaded_language'""]"
شاهد بلدة الخبراء التراثية.. أبنية طينية تحملك إلى أصالة الماضي. LINK LINK,"[""'loaded_language'""]"
"#سعد_الحريري و #جبران_باسيل خصمان في السياسة.. لكنهما: ""حبوا بعضن.. تركوا بعضن""! @USER LINK",['no_technique']
✍️سعد بن محمد الرميحي يكتب للشرق: هي بحق عروس الفضاء LINK LINK,['no_technique']
#بغداد.. خلاف عائلي يودي بحياة الزوج واصابة الزوجة #امن #العراق #السومرية LINK,['no_technique']
شاهد.. مظاهرة تجوب شوارع لندن تضامنًا مع الفلسطينيين LINK,"[""'loaded_language'""]"
🔴المصدر: عندما تفشل القوى التي تقف وراء هذه الأكاذيب تلجأ لمثل هذه الطرق الساذجة عبر نشر الأخبار الكاذبة,"[""'loaded_language'"", ""'fud'""]"
توقيف 9 #تجار_مخدرات و حجز قرابة 25 قنطار من #الكيف_المعالج,['no_technique']
مان سيتي وتوتنهام.. صراع على لقب كأس الرابطة الإنجليزية LINK LINK,"[""'loaded_language'""]"
سقوط تلفريك في شمال إيطاليا يسفر عن مقتل 14 بينهم 5 إسرائيليين,['no_technique']
وزير الإعلام ينعي الكاتب الصحفي المصري مكرم محمد أحمد LINK,['no_technique']
فيضان النيل يحاصر القصر الجمهوري ومنزل حمدوك..101 قتيل وانهيار آلاف المنازل والمنشآت #السودان #فيضان_السودان LINK,"[""'loaded_language'""]"
RT @USER عاجل | وزيرة الخارجية السودانية: التعبئة الثانية لسد النهضة تشكل خطرا حقيقيا على #السودان,"[""'loaded_language'""]"
منقوشة أبو شادي تروي معاناة اللبنانيين مع الفقر #رؤيا_الاخباري #لبنان #الأردن LINK المصدر: AFP LINK,"[""'loaded_language'""]"
🎥 #من_عمان | دور الوثائق الوطنية العمانية في حفظ الذاكرة الوطنية | لقاء مع الدكتور/ عبدالعزيز بن هلال الخروصي - الباحث في التاريخ الشفوي والوثائق العمانية LINK LINK,['no_technique']
بكلمات مؤثرة.. مقيم يودّع زوجته وأطفاله الخمسة بعد أن قضوا في حريق #جدة. LINK LINK,"[""'loaded_language'""]"
علي خيون يجوس بمبضعه أدواء المجتمع في روايته (بين قلبين) LINK,['no_technique']
هزة أرضية يصل تأثيرها إلى مناطق بـ #عُمان و #الإمارات,['no_technique']
#الوصال| الأستاذ الدكتور سعيد الظفري يتحدث عن أهمية غرس الطريقة العلمية لحل المشكلات لدى الأطفال لـ ,"[""'loaded_language'""]"
سوريا.. تفجيرات ومظاهرات في درعا احتجاجا على الانتخابات الرئاسية,"[""'loaded_language'""]"
المنتخب الألماني يعود بانتصار ثمين في تصفيات المونديال LINK,"[""'loaded_language'""]"
وسائل إعلام: ثلثا مؤيدي الحزب الجمهوري لا يعتبرون فوز بايدن في الانتخابات شرعيا,"[""'loaded_language'"", ""'fud'""]"
"وصفتها بـ""المشينة والعنصرية"".. الإمارات تستنكر تصريحات الوزير اللبناني وهبة #عاجل LINK","[""'loaded_language'""]"
الاحتجاجات تعود إلى #الجزائر وتُقلِق الرئيس,"[""'loaded_language'""]"
بعد كشف مقدار ثروته التي جمعها طيلة مشواره الفني.. عادل إمام يصبح أغنى فنان في مصر. #مصر #عادل_إمام #ثروة #فن #غني LINK,['no_technique']
"بعد 16 عاماً.. صورة ""الفتاة الكارثة"" تحصد نصف مليون دولار. LINK LINK","[""'loaded_language'""]"
المقعد الفارغ لوزير الدفاع يثير الحزن في جلسة مجلس الوزراء : LINK : LINK,"[""'loaded_language'""]"
"الأردن يطالب بإنهاء ""الظلم التاريخي الذي يتعرض له الشعب الفلسطيني"" LINK #فلسطين_تقاوم #GazaUnderAttake","[""'loaded_language'""]"
▶️ ريبورتاج: فلسطينيو حي الشيخ جراح بالقدس بين الصدمة والخوف إثر موجة العنف الأخيرة LINK LINK,"[""'loaded_language'""]"
#الوصال| الجيش السلطاني يفتح باب التجنيد #صحار_الآن LINK,['no_technique']
أحمد الأنصاري يؤكد: لا خوف على العنابي أمام الهند LINK,['no_technique']
#التوحيد_العربي: خيار المقاومة انتصار في سبيل الدفاع عن كرامة الإنسان LINK,"[""'loaded_language'""]"
نائب رئيس حركة حماس صالح العاروري: الاعتداء على المسجد الأقصى سيحرق رؤوس المحتلين. #القدس #الشيخ_جراح,['no_technique']
#محمود_ياسين .. فقد أول حب في عمره بحادث سيارة وخطفته عيون #شهيره LINK,"[""'loaded_language'""]"
تطبيق دردشة أمريكي يجتاح مدن الصين... ما قصته؟ LINK,"[""'loaded_language'""]"
"#السعودية.. تداول فيديو إطلاق نار من داخل سيارة أمام منزل ""أثار رعب سكان الحي"" والنيابة ترد.. فماذا قالت؟ LINK","[""'loaded_language'"", ""'appeal_to_fear'""]"
محاربة المخدرات تسقط شخصا بسوابق عدلية LINK #حوادث #24_ساعة #ترويج_المخدرات,"[""'loaded_language'""]"
وتحدث قائلا: “لايمكن أن تتحمل الدولة المسؤولية وحدها في ارتفاع حوادث السير، فالسائق كذلك يتحمل المسؤولية حينما لايتقيد بإجراءات السلامة والضوابط القانونية المنظمة للسير”.,['no_technique']
نتنياهو: سنعمل كل ما هو مطلوب لإعادة الهدوء لشوارع إسرائيل,['no_technique']
المدير الفني لنادي ليفربول ينفعل في وجه صحفي بسبب محمد صلاح LINK LINK,['no_technique']
الجنيه السوداني يحرز تقدّمًا مفاجئًا أمام العملات الأجنبية LINK,"[""'loaded_language'""]"
"BTS تثير ضجة هائلة بأغنيتها الجديدة ""Butter"" #فن #السومرية #BTS_Butter LINK","[""'loaded_language'""]"
RT @USER البديل انتفاضة على القضاء و النظام المالي و ؤمراء الحرب #وهلق_شو,"[""'loaded_language'""]"
قصة معركة سيف القدس.. من الإنذار إلى الدمار #فلسطين LINK,"[""'loaded_language'""]"
تمزج بين النسختين البريطانية والهندية.. السلطات الصحية في #فيتنام تكتشف نسخة جديدة متحورة لفيروس #كورونا #العربية LINK,['no_technique']
#الوصال| الأستاذ الدكتور سعيد الظفري يتحدث عن التأثيرات السلبية لبعض مشاهير التواصل الاجتماعي على سلوكيات الشباب العماني لـ ,['no_technique']
#الوصال| الإصلاح الاقتصادي حلقة اليوم من #فوانيس_الوصال مع الدكتور المعتصم المعمري @USER وضيفه الأكاديمي والباحث الاقتصادي الدكتور محمد الوردي @USER LINK,['no_technique']
RT @USER نادي #أولمبيك_مارسيليا يتمنى السلامة للجميع في #السودان ... قلوبنا تتألم لجميع المتأثرين بالفيضانات 🇸🇩🙏💙,"[""'loaded_language'""]"
"فريد الياس الخازن: ""يوم لبناني في الفاتيكان"".. لكنه ليس للتدخل بالسياسيات الداخلية اللبنانية @USER LINK",['no_technique']
"يعدُ واجهة ولاية مطرح على بحر عُمان ورئتها التي تتنفس منها.. تعرف على #قصة_شارع ""الكورنيش"" في محافظة #مسقط | تقرير: سمير النمري - أحمد العساف #الأخبار LINK","[""'loaded_language'""]"
"وكأنها ""خيوط"" من الحرير في مصر.. جولة على شلالات وادي الريان في الفيوم LINK LINK",['no_technique']
وزير الصحة : ما مررنا به امتحان عسير وصعب وتفاجأنا به وجاءت النتائج مرضية واثبتت نجاعة الخطط المسبقة #صحيفة_الرأي #الأردن,"[""'loaded_language'""]"
أحدهما طفل .. مخلفات القصف والمعارك تودي بحياة شخصين بأرياف درعا ودير الزور LINK,['no_technique']
كارثة في #الهند والوفيات بالآلاف يومياً.. خبراء يرجحون أن حالات #كورونا أعلى بكثير من المعلن.. تقرير يسلط الضوء LINK,"[""'loaded_language'"", ""'fud'""]"
"""كنت بلعب معاه"".. القبض على أب علق ابنه من الطابق الرابع في القاهرة LINK",['no_technique']
واحدة من الشخصيات الأكثر شهرة في تاريخ لعبة غولف السيدات.. أنيكا سورينستام تخلق فرصاً للجيل القادم من لاعبات الغولف LINK,['no_technique']
مجلس العشائر والقبائل السورية يجدد رفضه مشروعات التغير الديموغرافي والانفصال في #سوريا,['no_technique']
الأخ الكبير #فائق_الكسم لـ #العربية_نت: ولدت في #القاهرة قبل 40 عاماً LINK #العربية,['no_technique']
#بي_بي_سي_ترندينغ:”هولوغرام“ العندليب الأسمر يغضب عائلة #عبدالحليم_حافظ! LINK,"[""'loaded_language'""]"
بتسعة أرواح.. كيف نجا قط من حريق بناية شاهقة؟ #شاهد_سكاي LINK,['no_technique']
رغم فوائده المتعددة... تحذير من تناول #الزنجبيل في هذه الحالات! #صحة #عالم #السومرية LINK,['no_technique']
"""صفعة"" تدفع سفير بلجيكا في كوريا الجنوبية لترك منصبه (فيديو) LINK","[""'loaded_language'""]"
RT @USER عاجل | دياب: هناك حصار خارجي مطبق على #لبنان لدفعه للانهيار الشامل,"[""'loaded_language'"", ""'appeal_to_fear'""]"
صاحبة أكبر فم بالعالم تستطيع تناول شطيرة كاملة بسهولة كبيرة وسرعة قياسية! #شاهد_سكاي LINK,['no_technique']
الباحث السياسي محمد عويس لـTRT عربي: من يتحدث عن حل الدولتين بدون برنامج يوضح كيف سنصل إلى حل الدولتين، فهو يتحدث عن كلام لا يغني ولا يسمن من جوع,"[""'cliche'""]"
"الجيش البريطاني يكشف تفاصيل عملية سرية عطلت طائرات الدرون لـ ""دا-عش"" بسوريا LINK",['no_technique']
روسيا ترحب بتمديد الاتفاق بين إيران والوكالة الدولية للطاقة الذرية,['no_technique']
#الوصال| #جامعة_السلطان_قابوس ولدت كبيرة منذ البداية. سالم المسكري الأمين العام السابق لمجلس التعليم العالي لـ #فوانيس_الوصال مع الدكتور المعتصم المعمري @USER LINK,['no_technique']
لاجئة إثيوبية بمعسكر أم راكوبة تحكي مأساتها مع الحرب الدائرة في #إثيوبيا #السودان LINK,"[""'loaded_language'""]"
كأس إسبانيا: برشلونة يسحق أتلتيكو بلباو بأربعة أهداف ويحرز لقب البطولة بعد صيام عامين LINK LINK,"[""'loaded_language'""]"
ملتقى_افريقيا_للاستثمار: دعوة الجزائر #لقيادة_الدول_الافريقية نحو تجسيد سوقهم #الموحدة#,['no_technique']
الرجل الذي كان من فراغ LINK,['no_technique']
فيروس كورونا.. الإعلان عن إغلاق أول مدينة بشكل شامل بموريتانيا,"[""'appeal_to_fear'""]"
المؤتمر الصحفي المتوج لاجتماع مجلس الوزراء: LINK عبر @USER,['no_technique']
صقيع قطبي وعواصف ثلجية تجتاح الولايات المتحدة,"[""'loaded_language'""]"
بالفيديو: مشكلة #الكهرباء من أكبر هموم وكوابيس المواطن... هل من حلول حقيقية؟ تقرير من #السومرية تشاهدونه في الرابط التالي #العراق #اقتصاد #سياسة LINK,['no_technique']
3 نمور تهرب من حديقة سفاري في واحدة من أكبر مدن الصين..والموظفون يدقون ناقوس الخطر بعد مرور أسبوع على الحادثة LINK,"[""'loaded_language'"", ""'appeal_to_fear'""]"
🎥 #قهوة_الصباح | موهوب يجمع بين عذوبة الصوت وعمق الإحساس | مرشد بن عامر البداعي LINK LINK,['no_technique']
نتنياهو: نرفض كل الضغوط لمنع حكومتنا من البناء في #القدس التي ستبقى عاصمة أبدية وموحدة لإسرائيل #الأخبار LINK,"[""'loaded_language'""]"
الناطق باسم القوة الوطنية المتحركة «سليم قشوط»: مفاوضات تجري بين أعيان مدينتي #صرمان و #صبراتة وقادة قوات حكومة الوفاق لتسليم مدنهم وحقن الدماء.,"[""'loaded_language'"", ""'appeal_to_fear'""]"
بيرام : المجلس الدستوري عمق الأزمة وندعو للحوار LINK,"[""'loaded_language'""]"
#مصر تبدأ تصنيع #سينوفارم .. هل نجحت خطط التعايش مع #كورونا؟,"[""'fud'""]"
المدير التنفيذي لشركة غازبروم الروسية سيرجي تومانوف قال إن الشركة استأنفت إنتاج النفط الخام في #ليبيا بعد توقف دام 10 أشهر بموجب اتفاق مشترك مع وينترشال الألمانية، مضيفًا أنه من المتوقع أن يرتفع الإنتاج الحالي في المشروع من 43 ألف برميل في اليوم إلى 62 ألفًا مع نهاية عام 2021.,['no_technique']
معز شقشوق وزير النقل واللوجيستيك : فما مافيا متاع تهريب دخان في الخطوط التونسية لازمنا نوقفوها.. #MidiShow 🎙🇹🇳 #رمضان_على_موزاييك 🌙🌟,"[""'loaded_language'""]"
#يوفنتوس بطلا لـ #كاس_ايطاليا للمرة الـ14 بفوز صعب على #اتالانتا.. فيديو LINK,['no_technique']
بالفيديو - قطة تقتحم مؤتمرا صحافيا للنائب السابق مصباح الأحدب LINK,"[""'loaded_language'""]"
الرئيس يصدم العراقيين.. 150 مليار خرجت من #العراق #منصات #شاهد_سكاي,"[""'loaded_language'""]"
"وفاة طفل وسيدتين ""حرقا"" في مخيم نبع الأمل شمال إدلب LINK","[""'loaded_language'""]"
أسلحة ما بعد الحربين الثانية والباردة اشد فتكا إذا اندلعت الحرب العالمية الثالثة LINK,"[""'loaded_language'"", ""'appeal_to_fear'""]"
في يوم تكريمه.. مدرس جامعي في مصر يواجه حملة غضب عارمة.. تعرف على القصة 👇 LINK,"[""'loaded_language'""]"
طاعة الرسول ﷺ هي طاعة لله، فهو مؤيد بالوحي ولا ينطق عن الهوى. #تأملات_قرآنية LINK,['no_technique']
#الوصال| أغلب الدوريات قائمة في الدول الأخرى لماذا الإيقاف في #السلطنة فقط؟؟ فوزي بشير لاعب المنتخب السابق لـ #فوانيس_الوصال مع الدكتور المعتصم المعمري @USER LINK,"[""'fud'""]"
#الوصال| الدكتور أحمد المنظري المدير الإقليمي لـ #منظمة_الصحة_العالمية للشرق المتوسط يتحدث عن أزمة #كورونا لـ #فوانيس_الوصال مع الدكتور المعتصم المعمري @USER LINK,['no_technique']
الخارجية الروسية تستدعي سفير كولومبيا بعد تصريحات وزير دفاعها عن هجمات إلكترونية,['no_technique']
تشهد #سوريا في 26 مايو/ أيار الجاري انتخابات رئاسية ستفضي إلى فوز شبه مؤكد للرئيس بشار الأسد بفترة ثالثة، فما هي حكاية أسرة الأسد مع السلطة والنفوذ؟,"[""'fud'""]"
#فاوتشي تلقى اتصالات في بداية #كورونا تظهر مدى الرعب والارتباك حينها LINK #العربية,"[""'loaded_language'"", ""'appeal_to_fear'""]"
@USER @USER يعني نترك الاثيوبي لغاية ما يدخل الخرطوم ، علشان نظرة سعادتك اننا ضعفاء واشرار ؟,"[""'straw_man'""]"
RT @USER #السودان الشقيق في قلوبنا .. أسأل الله العلي القدير أن يلطف بأهله الطيبين .. حتى في مسيرتي التعليمية تتلمذتُ على خيرة…,"[""'loaded_language'""]"
#عاجل | الشرطة الفرنسية تلاحق عدد من النشطاء بعد دعوات لتنظيم مظاهرة في #باريس للتنديد بالقصف على #غزة LINK,"[""'loaded_language'"", ""'appeal_to_fear'""]"
الغرب يريد معاقبة روسيا على حادثة رحلة Ryanair في مينسك,"[""'loaded_language'""]"
الاحداث في #اثيوبيا تتسارع بشكل خطير : رئيس الوزراء أبي أحمد يقيل وزير الخارجية ورئيس المخابرات وقائد الجيش,"[""'loaded_language'"", ""'appeal_to_fear'""]"
"""خلال اتصال هاتفي مع الرئيس عبد الفتاح السيسي.. الشيخ محمد بن زايد يعرب عن دعم #الإمارات لجهود #مصر لتحقيق الأمن والاستقرار في المنطقة\n#العربية""","[""'loaded_language'""]"
سفارة أمريكا بتونس: مقتل فلويد.. والحقائق الموجعة عن العنصرية والظلم(صور) LINK,"[""'loaded_language'""]"
"#ممنوع_التجول قد يكون بداية ""خفوت #ناصر_القصبي"".. وماذا عن #مارغريت؟ دراما #رمضان 2021 بعيون النقاد LINK @USER","[""'whataboutism'""]"
#عاجل | مجلس حقوق الإنسان: نقص في الأدوية بنسبة 46% وفي الإمدادات الطبية بنسبة 36% مما يُهدد الحياة في غزة #عين_ليبيا LINK,"[""'loaded_language'"", ""'appeal_to_fear'""]"
#رامى_رضوان ناعيا #سمير_غانم: وداعا حبيبى LINK LINK,['no_technique']
هل ينجح #نبيه_بري في تطويق مفاعيل المواجهة السنّية ـ المسيحية في #مجلس_النواب؟ #رسالة عون LINK,"[""'fud'""]"
#خارج_النص - ماهي الرواية السائدة التي عارضها فيرين عن تاريخ الأندلس؟ شاهدوا الحلقة على يوتيوب: LINK LINK,['no_technique']
"▶️ مراسلة فرانس24 ""انتشال ضحايا من عائلة كاملة قصف منزلها في شمال غزة.. ونزوح كبير"" LINK LINK","[""'loaded_language'"", ""'appeal_to_fear'""]"
عاجل: السيسي: لن يستطيع أحد أن يأخذ نقطة مياه من مصر ومن يريد أن يجرب سيتحمل العواقب #اثيوبيا #مصر #السودان,"[""'appeal_to_fear'""]"
غويتا... الرجل الذي أطاح برئيسين في أقل من عام === LINK LINK,"[""'loaded_language'""]"
د.عبدالله باعبود @USER لـ #الوصال: الذي يحدث في #القدس غير منطقي وغير معقول #الاقصي_ينتفض #حي_الشيخ_الجراح #القدس_ينتفض #غزة_تحت_القصف #AlAqsaUnderAttack LINK,"[""'appeal_to_fear'""]"
استشاري الأمراض المعدية ضرار بلعاوي: الفطر الأسود بكل مكان لكنه يؤثر مع ضعف المناعة.. وانتشاره بـ #الهند يرجع للإفراط في الكورتيزون وزيادة مرضى السكري #العربية LINK,"[""'appeal_to_fear'""]"
#يوم_النصر2021 إصرار ، إنتصار وبناء LINK,['no_technique']
#الوصال| منذر من فريق أرض اللبان : ما المانع أن يكون هناك اتحاد لرياضة المشي الجبلي ؟ LINK,['no_technique']
#الوصال| وزارة العمل @USER : “تابعت #وزارة_العمل باهتمام حول تجمع عدد من المواطنين أمام مبنى المديرية العامة للعمل بمحافظة شمال الباطنة” LINK,['no_technique']
كان يصرخ من خلف الشاشة.. كيف تفاعل ترامب أثناء مشاهدته إجراءات محاكمته ؟ LINK,['no_technique']
"سد النهضة: السيسي يحذر من المساس بحق مصر في مياه النيل ويقول إنها ""خط أحمر"" - BBC News عربي LINK","[""'loaded_language'"", ""'appeal_to_fear'""]"
"ابنتها تفجر مفاجأة: الفنانة ""#نادية_العراقية"" لم تمت بـ #كورونا! #العراق #السومرية LINK","[""'loaded_language'""]"
بيان ناري لسائرون ضد شركائها في البرلمان بعد فشل تمرير الموازنة LINK,"[""'loaded_language'""]"
#الخليج_العربي في ظل التقارب الصيني الإيراني,['no_technique']
رياض محرز يرفع علم #فلسطين أثناء الاحتفال بتتويج #مانشستر_سيتي بلقب #الدوري_الإنجليزي LINK,['no_technique']
منسقو الاستجابة: عدم تجديد آلية دخول المساعدات الإنسانية سيسبب انهيار اقتصادي وإنساني LINK,"[""'loaded_language'""]"
الكويت: متضامنون مع الهند في ظروفها الصحية الصعبة LINK LINK,"[""'loaded_language'""]"
"""بعد استهداف #إسرائيل للأنفاق وعدد من منازل قيادات #حماس.. سؤال يطرح نفسه: كيفية استطاع الجيش الإسرائيلي تحديد تلك المواقع بدقة؟\n#العربية""",['no_technique']
استغراب إصلاحي لموقف الناصري والاشتراكي من قرارات الرئيس.. هل تواجدكم في مؤسسات الدولة خرق فاضح للدستور؟ LINK LINK,"[""'fud'""]"
"النائب نقولا نحاس لـ""الجديد"": اعتذار الحريري لم يكون هو الحل وآلية تشكيل الحكومات أصبح خطيراً @USER","[""'loaded_language'"", ""'appeal_to_fear'"", ""'fud'""]"
عرض ”أنا برشا“: عندما تَكفر الكتابة بالمحرّمات LINK LINK,['no_technique']
الناظور.. إحباط محاولة للتهريب الدولي للمخدرات وحجز خمسة أطنان و30 كلغ من مخدر الشيرا (المديرية العامة للأمن الوطني),"[""'loaded_language'""]"
🎥 #قهوة_الصباح | قصيدة في حب الوطن | نوف بنت خلفان البريكية LINK LINK,['no_technique']
هل يتفق الرئيسان ميشال #عون وسعد #الحريري وتتألف الحكومة بعد الاستعانة بالصديق #نبيه_بري ؟ @USER LINK,['no_technique']
د. خالد البلوشي: الحواجز اللغوية أحد أهم تحديات التنوع الثقافي LINK,['no_technique']
سوالف رياضية... هل يصلح المدرب الجديد فالفيردي لقيادة ميسي وبرشلونة؟ #Bahrain LINK,"[""'fud'""]"
لا تعتبرهم حركة إرهابية.. تركيا ترفض طلبا مصريا بتسليم قادة الإخوان.. ما التفاصيل؟ LINK LINK,['no_technique']
الكشف عن تطورات صحة فنانة مشهورة بعد إصابتها بـ #كورونا #العراق #السومرية LINK,['no_technique']
